('actual', 1.0)
('poder', 0.28727853649195156)
('agudización', 0.28347335475692037)
('política', 0.2823027784360541)
('grande', 0.27972795624351315)
('sólo', 0.264787045542601)
('si', 0.2625036358096084)
('económico', 0.262098866951564)
('concecuencia', 0.25985057519384364)
('paradoja', 0.25985057519384364)
('revestir', 0.25985057519384364)
('importante', 0.2527207572697882)
('país', 0.24798889530559867)
('decir', 0.24587532266162865)
('alianza', 0.24380921800171687)
('enfrentar', 0.24147730220033958)
('farmacia', 0.23904572186687872)
('deber', 0.23781748909543665)
('villafuerte', 0.23622779563076698)
('crisis', 0.2345321335448298)
('zavala', 0.23385358667337133)
('situación', 0.22992725230686217)
('crecimiento', 0.22873401773912017)
('información', 0.22758137197861933)
('señalar', 0.22642966328691508)
('mundo', 0.22299776632131357)
('parte', 0.2164464017961452)
('hoy', 0.21485486725174024)
('brote', 0.21260501606769028)
('impreciso', 0.21260501606769028)
('imprescindible', 0.21260501606769028)
('pues', 0.21206472290437092)
('empresa', 0.21143854395647724)
('mayor', 0.2110928354662592)
('recuperación', 0.21107062802466744)
('político', 0.20964952200737796)
('cantidad', 0.2074349534112556)
('encontrar', 0.20593861776197847)
('social', 0.20565318641515568)
('hacer', 0.20501333848200712)
('adquisitivo', 0.20473075621333145)
('actividad', 0.20459698382062533)
('decidir', 0.19962274137952873)
('bien', 0.19699221267730566)
('todas', 0.19359554716056532)
('tampoco', 0.193012161744489)
('empresario', 0.19191236839468462)
('afirmar', 0.1918553449590491)
('saber', 0.19108764447399507)
('mantener', 0.18944385752850232)
('confusión', 0.1889822365046136)
('forja', 0.1889822365046136)
('hazaña', 0.1889822365046136)
('horizonte', 0.1889822365046136)
('leonel', 0.1889822365046136)
('panistas', 0.1889822365046136)
('propicio', 0.1889822365046136)
('asir', 0.18874720476127535)
('nueva', 0.1883946646507649)
('pequeña', 0.1860059522857112)
('existir', 0.18594787684516811)
('subrayar', 0.18557687223952257)
('además', 0.18508786777364009)
('tema', 0.18503153790670585)
('vida', 0.1845498755762595)
('tener', 0.1845238095238095)
('seguir', 0.18391302991904238)
('recurso', 0.18374848408125946)
('duro', 0.18374210381479172)
('forzosamente', 0.18374210381479172)
('titular', 0.18374210381479172)
('público', 0.18365895380805317)
('grave', 0.18333969940564224)
('aquí', 0.18166280198866697)
('haber', 0.18155448741394054)
('director', 0.18104647452021735)
('año', 0.1805292051689114)
('tecnología', 0.18032922102304727)
('indicar', 0.1802552194697271)
('puerta', 0.17953312467938295)
('reconocer', 0.17953312467938295)
('grupo', 0.17904572270978353)
('gobierno', 0.17879125159306425)
('caso', 0.1786471603207431)
('manifestar', 0.17862394185842503)
('disponer', 0.17837458884810706)
('hablar', 0.17767632805475356)
('medio', 0.17552844368243523)
('avance', 0.17526704600399354)
('cambio', 0.1748487630699455)
('desarrollo', 0.1729937066287007)
('compromiso', 0.17181411259181908)
('repunte', 0.17034628596731172)
('claro', 0.17008401285415228)
('materia', 0.16929658686871632)
('hundir', 0.16903085094570328)
('trabajador', 0.16876735764295622)
('dejar', 0.16840826742715195)
('necesario', 0.16840826742715195)
('tomar', 0.1675601657169227)
('simple', 0.1674734613258089)
('doble', 0.16747346132580887)
('específico', 0.16747346132580887)
('establecer', 0.16738694749560865)
('aterrizar', 0.16703827619526523)
('monopolio', 0.16703827619526523)
('razonamiento', 0.16703827619526523)
('dato', 0.1668190657646065)
('demanda', 0.16638958140993046)
('querer', 0.16638958140993046)
('sistema', 0.16596540720922975)
('lector', 0.1658902332014283)
('berdejo', 0.1653594569415369)
('blando', 0.1653594569415369)
('cabida', 0.1653594569415369)
('complejidad', 0.1653594569415369)
('discriminatoria', 0.1653594569415369)
('formular', 0.1653594569415369)
('gravedad', 0.1653594569415369)
('impotencia', 0.1653594569415369)
('justo', 0.1653594569415369)
('lentamente', 0.1653594569415369)
('ninguna', 0.1653594569415369)
('notable', 0.1653594569415369)
('polídeca', 0.1653594569415369)
('solvencia', 0.1653594569415369)
('méxico', 0.16493766549074515)
('continuar', 0.16480793104501476)
('nodos', 0.1643439337834791)
('punto', 0.16366341767699427)
('nuevo', 0.1635022522832248)
('difícilmente', 0.1625831192857725)
('presidencia', 0.1625831192857725)
('inmediato', 0.1619878988229657)
('leche', 0.16124851084919278)
('circunstancia', 0.16122550540925598)
('reforma', 0.16099306178800857)
('base', 0.16071428571428573)
('ceesp', 0.16063490102892158)
('cualquier', 0.16061130273438956)
('tocar', 0.160422236979937)
('llegar', 0.16030311050174278)
('posible', 0.1598023066507)
('dar', 0.15850736486866462)
('conectar', 0.1584664227615968)
('revelar', 0.1584664227615968)
('deteriorar', 0.157485197087178)
('fácilmente', 0.157485197087178)
('quién', 0.157485197087178)
('estimación', 0.15724272550828775)
('oxígeno', 0.15724272550828775)
('retraso', 0.15724272550828775)
('ejemplo', 0.15590239111558088)
('convertir', 0.1557318506184658)
('problema', 0.15537971921347116)
('fondo', 0.1550581443056169)
('unir', 0.15464739353293547)
('cerrar', 0.1543033499620919)
('procuraduría', 0.15394838434363903)
('generar', 0.15373501156702268)
('tiempo', 0.15366965796245594)
('mucha', 0.15362302781179585)
('capital', 0.15331725708047778)
('responsable', 0.15325150845822205)
('sector', 0.15325150845822202)
('mes', 0.15215132945944657)
('salir', 0.15184585213056623)
('persona', 0.15165667674791342)
('plan', 0.15161240776549212)
('verdad', 0.15130248464736168)
('ex', 0.15121078478775912)
('requerir', 0.15092515595374592)
('partido', 0.1504483691485176)
('bancario', 0.1504457662130396)
('inflación', 0.1504457662130396)
('medida', 0.1503903412231603)
