('apoyo', 1.0)
('docente', 0.27244596551189987)
('insuficiente', 0.2692343094816518)
('incosteabilidad', 0.25383654128340477)
('sector', 0.2357847839996366)
('mil', 0.22927036173552634)
('inalcanzable', 0.2284528871550643)
('simbiosis', 0.22845288715506426)
('peso', 0.224207470675877)
('millón', 0.2224158546103947)
('brindar', 0.22156669801466383)
('captar', 0.21982889316020596)
('arquitectura', 0.21538744758532138)
('navarrete', 0.2119024176203666)
('empresa', 0.20336735293231967)
('alumno', 0.2030692330267238)
('indemnizaciones', 0.2030692330267238)
('total', 0.20111471946801082)
('recuperación', 0.20103092783505153)
('borja', 0.20024999536283095)
('arquitecto', 0.1979959277657713)
('adicional', 0.19482527677986852)
('hectárea', 0.19466980592830824)
('dólar', 0.19420832117620748)
('recibir', 0.19147963238307888)
('margen', 0.19051837407217848)
('oficial', 0.18810347166657806)
('gubernamental', 0.18666912124061188)
('económico', 0.18514964382932073)
('sólo', 0.1842635744820444)
('cultivar', 0.18304413303674952)
('ceesp', 0.1827623097240514)
('pea', 0.1816306436745999)
('entregar', 0.1813090783996604)
('país', 0.17971524550841664)
('vía', 0.17772112667885268)
('autrey', 0.17768557889838335)
('percance', 0.17768557889838335)
('asfixia', 0.17768557889838332)
('ganadero', 0.17768557889838332)
('marginada', 0.17768557889838332)
('renta', 0.17768557889838332)
('poder', 0.17465506598779362)
('crecimiento', 0.1744274732508958)
('economía', 0.1740956011808324)
('suma', 0.17405934259433473)
('crisis', 0.17351816807709192)
('venta', 0.17220236520227578)
('hermano', 0.17162482629699224)
('ascender', 0.1711458115963441)
('parte', 0.16892697305310989)
('alrededor', 0.16649895173949145)
('capacitación', 0.1658053344579356)
('rescate', 0.16542390921277342)
('originar', 0.16513037648207976)
('sobrevivir', 0.1649937518342131)
('octubre', 0.1645538328861585)
('recurso', 0.16453779123350568)
('privado', 0.1640420001287377)
('programa', 0.16164370768205913)
('generoso', 0.16154058568899107)
('sufriente', 0.16154058568899107)
('vacacionistas', 0.16154058568899107)
('operativo', 0.16120785498415105)
('recesión', 0.16120785498415102)
('problema', 0.1605403247669839)
('desarrollo', 0.1603747338773613)
('persona', 0.15994357133969378)
('ahogar', 0.1589268132152749)
('gobierno', 0.15737374520801325)
('sintonizadores', 0.1572967515279229)
('cerca', 0.1563227684694798)
('volatilidad', 0.1550966886102647)
('desafortunadamente', 0.1548834971849419)
('pago', 0.15446234366729303)
('año', 0.15439710085818714)
('ligeramente', 0.15230192477004287)
('sistemaenancario', 0.15230192477004287)
('ahuyentar', 0.15230192477004284)
('coptar', 0.15230192477004284)
('impotencia', 0.15230192477004284)
('inverlat', 0.15230192477004284)
('locatel', 0.15230192477004284)
('monumental', 0.15230192477004284)
('parado', 0.15230192477004284)
('primaveraverano', 0.15230192477004284)
('trasferencia', 0.15230192477004284)
('disponer', 0.15201483323339685)
('aproximadamente', 0.15198822325310768)
('banca', 0.15185119301879957)
('bancario', 0.14922480101214208)
('mal', 0.14801086613774464)
('salir', 0.14798654424683394)
('treinta', 0.14655259544013732)
('vigilancia', 0.14655259544013732)
('intento', 0.1465525954401373)
('pendiente', 0.1465525954401373)
('reclamar', 0.1465525954401373)
('reconocimiento', 0.1465525954401373)
('httpwwwexcelsiorcommxfinhtml', 0.14649292471362033)
('turismo', 0.14507966765069372)
('auxilio', 0.1450796676506937)
('mientras', 0.14485012757968802)
('ixe', 0.14448629229028548)
('diciembre', 0.1443450823348883)
('través', 0.14391179183500055)
('faltar', 0.1435916317235476)
('anterior', 0.14316868049045436)
('informar', 0.14316868049045436)
('seguir', 0.1431057026422311)
('grande', 0.14284955113970124)
('informal', 0.14214846311870663)
('quedar', 0.14188359911549328)
('productivo', 0.14166750892546606)
('economista', 0.14140878712594512)
('predio', 0.14140667810518978)
('captación', 0.1408031792590381)
('nuevo', 0.1396509744860108)
('paseantes', 0.13938803601336722)
('todavía', 0.13922496566813042)
('actividad', 0.13885132114165197)
('municipio', 0.13857433363227534)
('crecido', 0.13776227435759109)
('virtual', 0.13776227435759109)
('generar', 0.13766219277928302)
('televisor', 0.1376143019471574)
('valorar', 0.13708740031987068)
('establecer', 0.13644870450604754)
('asfixiar', 0.13622298275594993)
('revelar', 0.13622298275594993)
('trabajador', 0.13601063191327475)
('empleo', 0.13544168923390934)
('posponer', 0.13537948868448255)
('planta', 0.1346171547408259)
('desequilibrios', 0.13431767237933384)
('decir', 0.13306584942741648)
('ex', 0.13294001880879833)
('además', 0.13258971512004936)
('monto', 0.13256181030755046)
('asignación', 0.13189733589612357)
('estabilidad', 0.13189733589612357)
('peligroso', 0.13189733589612357)
('urgir', 0.13189733589612357)
('volumen', 0.13189733589612357)
('si', 0.13149175313621983)
('costo', 0.13138511129740138)
('organización', 0.13080839207229858)
('continuar', 0.1302153981624714)
('cifra', 0.13006378652827655)
('deuda', 0.1295905272765558)
('tecnología', 0.12918080655890213)
('maltratar', 0.12894909192112602)
('autoridad', 0.12871861972274418)
('inmediato', 0.12865503926950828)
('dos', 0.12843225981358714)
('horno', 0.1284322598135871)
('inactivo', 0.1284322598135871)
('microondas', 0.1284322598135871)
('monitor', 0.1284322598135871)
('serfín', 0.1284322598135871)
('méxico', 0.1282106336608569)
('sequía', 0.12702858641276066)
('advirtiótambién', 0.12691827064170239)
('alteración', 0.12691827064170239)
('aprovechamiento', 0.12691827064170239)
('asesoría', 0.12691827064170239)
('bienestar', 0.12691827064170239)
('campamento', 0.12691827064170239)
('clave', 0.12691827064170239)
('constante', 0.12691827064170239)
('difpreman', 0.12691827064170239)
